Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
ADANIPORTS,0.3568234297736813,0.802686648971021,0.9999999999999999,0.9139512725658888,0.08291566684151375,0.0,0.21473555625968094,0.6259900351003564,0.9999999999999999,0.6960384561474613,0.06979322980614089,0.0,48.654390934844194,49.92917847025495,50.991501416430594,48.86685552407932,50.212464589235125,49.07932011331444,Random Forest
ASIANPAINT,0.30114037299677693,0.34362371254710183,0.6027841050804814,1.0,0.060863462847911,0.0,0.2493422968132816,0.21272291852513378,0.5660879567962409,1.0,0.02324532783025307,0.0,51.628895184135985,49.57507082152974,48.30028328611897,50.14164305949008,49.29178470254958,49.787535410764875,LSTM
AXISBANK,0.6669186311171316,0.7723851465926339,0.6349089922364937,1.0,0.031075886067142622,0.0,0.6579747196713865,0.7288100690018817,0.6221237673830791,1.0,0.018309627202031387,0.0,52.19546742209632,51.06232294617564,50.28328611898017,51.06232294617564,51.20396600566573,52.124645892351275,Gradient Boosting
BAJAJ-AUTO,0.6996458451464798,0.4922158484727842,0.7493401693310753,1.0,0.01006992893786679,0.0,0.9723865304936055,0.3401812907490543,0.8766881749605674,1.0,0.0019183880257904878,0.0,52.903682719546744,50.77903682719547,50.212464589235125,51.41643059490085,52.69121813031161,50.07082152974505,Random Forest
BAJFINANCE,1.0000000000000002,0.6445583575176526,0.5111266110440504,0.8576622742104125,0.012826770517508551,0.0,0.9999999999999999,0.44210569450224757,0.40830786858494134,0.6821700831128833,0.00449418351817521,0.0,51.20396600566573,51.13314447592068,48.937677053824366,51.41643059490085,49.07932011331444,48.371104815864015,Random Forest
BHARTIARTL,0.521262688536811,0.3243756088640067,0.6479152908853936,1.0000000000000002,0.07819635264006886,0.0,0.44850284174749266,0.22568769233532723,0.6357743440966821,1.0,0.04600390122565737,0.0,52.124645892351275,50.92067988668555,48.44192634560906,52.69121813031161,50.70821529745042,49.787535410764875,Random Forest
BPCL,0.7468145194348051,0.29017421887413586,0.6008340169755039,0.9999999999999999,0.0119112045063757,0.0,0.7376272088104119,0.19093888254401487,0.5885194156000897,1.0000000000000002,0.004778686379003791,0.0,52.76203966005666,50.849858356940516,49.716713881019835,52.97450424929179,50.991501416430594,48.30028328611897,Random Forest
CIPLA,0.35839231382513936,0.6723647194548045,0.9821617886440389,0.9999999999999999,0.14598587865710988,0.0,0.1670251090481955,0.43475083697709166,1.0,0.9364967098166261,0.0685620072979739,0.0,48.937677053824366,49.57507082152974,48.79603399433427,49.64589235127479,49.92917847025495,51.27478753541076,Gradient Boosting
COALINDIA,0.7345234222395722,0.5969196967625581,1.0,0.7759824620931446,0.05604377526188098,0.0,0.5698936527052822,0.4672341491796287,1.0,0.6776087871198411,0.0271189950842749,0.0,50.77903682719547,50.70821529745042,48.22946175637394,50.49575070821529,50.77903682719547,50.35410764872521,Random Forest
DRREDDY,0.5688196711531521,0.4547750691184851,0.3767109464708722,1.0,0.0,0.07283650862358804,0.8644317544266791,0.0,0.06908338500926403,1.0,0.053835981404743105,0.30492511898846697,49.787535410764875,50.0,50.49575070821529,50.63739376770538,50.07082152974505,51.69971671388102,Gradient Boosting
GAIL,0.8730601134612899,0.0,0.13079642001117892,0.02466949425084347,0.9337102412719218,1.0,1.0000000000000002,0.0,0.04909680327179284,0.00888143904903408,0.7696176372544614,0.8505106974060921,48.22946175637394,48.79603399433427,48.937677053824366,50.07082152974505,48.01699716713881,48.22946175637394,SVR-Rbf
GRASIM,1.0,0.4150851809697968,0.676309220095628,0.4992966976215069,0.02141303141442913,0.0,0.9999999999999999,0.3000402652920581,0.575575709099735,0.44494231522643146,0.004977154064728928,0.0,53.61189801699717,52.62039660056658,51.13314447592068,50.35410764872521,50.28328611898017,52.19546742209632,Gradient Boosting
